title,inbound_links,pageviews_3mo
Hepatitis E,0,6834
Hepatitis B,0,40617
Heparin-induced thrombocytopenia,111,2637
Hemorrhoid,496,76087
Henoch–Schönlein purpura,0,13790
Hereditary hemorrhagic telangiectasia,0,7225
George Foster Herben,4,87
Thomas Hinde,0,466
Epidural administration,0,14315
Herpes,453,58940
Mary Herring,0,238
Endometriosis,0,226319
Hiroshima Maidens,2,10266
Familial hypercholesterolemia,154,8913
Gerald Fischbach,13,397
Hermaphrodite (Nadar),2,3795
Hereditary coproporphyria,43,3088
Histamine intolerance,0,7342
Fibrothorax,165,3180
HIV/AIDS in Malawi,236,0
HIV,500,109472
María Teresa Ferrari,7,304
History of penicillin,0,17428
HIV/AIDS,0,0
History of malaria,0,8241
History of aspirin,0,7212
Histamine N-methyltransferase,264,1496
Hypericum perforatum,0,68067
Idiopathic intracranial hypertension,0,14693
Hospice care in the United States,480,3260
Hypertension,20,88646
Hypothyroidism,0,67969
Hypopituitarism,0,12580
Impacted wisdom teeth,0,9333
E. Graham Howe,4,414
International emergency medicine,63,271
Injector pen,118,2774
Imprinted brain hypothesis,315,1290
Iodine,0,67243
Interventricular foramina (neuroanatomy),71,1280
Intersex healthcare,70,1234
Intramuscular injection,228,14053
Intravenous therapy,0,47912
Aletta Jacobs,131,5643
Sophie Jamal,10,754
Constance Kies,7,198
Frances Oldham Kelsey,336,23165
Evan O'Neill Kane,19,2742
Kew Asylum,89,3823
Kidney stone disease,234,39043
Mihran Kassabian,13,413
Lambert–Eaton myasthenic syndrome,0,7623
Late onset congenital adrenal hyperplasia,0,12608
Kivu Ebola epidemic,177,6006
Henrietta Lacks,483,159837
Alexander Langmuir,17,548
Kusumoto Ine,0,12242
Linda Laubenstein,0,5591
Lafargue Clinic,0,390
Lead poisoning,341,46232
Leptospirosis,0,55680
Legal history of cannabis in the United States,0,9379
Klas August Linderfelt,148,293
Alice Litman,11,2309
Long COVID,215,53726
Johannes Leimena,282,1240
Malpuech facial clefting syndrome,0,2852
Charles Lester Leonard,3,166
Magnetic resonance imaging,0,118089
Low back pain,473,27425
Lujan–Fryns syndrome,16,3419
Paulina Luisi,0,411
Roderigo Lopes,0,2355
Frances McConnell-Mills,157,190
Clarence Lushbaugh,11,1226
Malaria,307,138136
Helen Mayo,36,606
Medicinal plants,0,14000
Mayo Foundation for Medical Education & Research v. United States,0,158
Enriqueta Medellín,5,160
Melioidosis,0,
Josef Mengele,343,
Meth mouth,118,
De materia medica,152,
Joseph Merrick,0,
Metal corset,35,
Methoxyflurane,0,
Metabolic dysfunction–associated steatotic liver disease,312,
Abe Mickal,35,433
Metformin,500,115378
John Benjamin Murphy,89,669
Methamphetamine,0,233199
Rosalie Slaughter Morton,0,186
Mu wave,0,1358
Microorganism,0,33068
Milk allergy,0,3932
Molecular diagnostics,0,1855
Migraine,0,53927
Midazolam,411,73600
Neuroacanthocytosis,28,1011
Neurocysticercosis,0,17846
Catherine Neill,7,227
National Public Health Laboratory (Sudan),103,487
Neuroblastoma,362,22505
Myocardial infarction,500,137269
Nasodigitoacoustic syndrome,0,1014
Victor Negus,0,244
Norepinephrine,0,46572
Nomenclature of monoclonal antibodies,0,3569
Eileen Niedfield,7,113
Nitrogen narcosis,0,22339
Nial O'Glacan,4,350
New York Rescue Workers Detoxification Project,68,1859
Nicotinic acid,421,18255
Noonan syndrome with multiple lentigines,20,1397
Oladipo Ogunlesi,0,3120
Osteitis fibrosa cystica,0,2339
Obesity,480,61533
Obesity hypoventilation syndrome,0,4931
Oen Boen Ing,2,137
Osteogenesis imperfecta,272,88926
O'Donnell-Luria–Rodan syndrome,210,1568
Pantothenic acid,0,14010
Charles Bingham Penrose,16,563
Parasitism,500,51678
Pentasomy X,0,9874
Pituitary apoplexy,0,3326
Persecutory delusion,0,25553
Rand Paul,0,362055
Paracetamol poisoning,160,31049
Pelvic inflammatory disease,340,9920
Poliovirus,0,12746
Pneumonia,0,187957
Pneumothorax,0,42703
Polio vaccine,0,46753
Plantar fasciitis,0,54377
Plasmodium knowlesi,0,2941
Planned Parenthood,500,41291
Playa de Oro virus,0,102
Premastication,13,2518
Post-traumatic epilepsy,20,879
Willis J. Potts,6,331
Prepatellar bursitis,78,4368
Polyendocrine metabolic ovarian syndrome,277,86911
Prion,302,209501
Psoriasis,0,178650
Protein C,0,1990
Jean Purdy,17,14777
Alfonso Quiñónez Molina,181,920
Melvin Ramsay,4,322
Railway surgery,0,621
Gabor B. Racz,9,624
Psychedelic music,487,43428
Pulvermacher's chain,14,
Rabeprazole,0,
Marie Rennotte,6,
Royal Commission on Animal Magnetism,0,
Riboflavin,463,
Dorothy P. Rice,17,
Jennie Smillie Robertson,15,
Rapid strep test,69,
Red-eye effect,385,11804
Cornelius P. Rhoads,31,4748
Rumination syndrome,0,5314
Monique Ryan,125,5758
Selective androgen receptor modulator,0,8847
SENSOR-Pesticides,21,206
Sesame allergy,40,1666
Salt water aspiration syndrome,375,4917
Terri Schiavo case,0,116746
Short QT syndrome,236,2353
Serotonin syndrome,0,69001
Skraban–Deardorff syndrome,203,1429
Slipping rib syndrome,54,6335
Sleep hygiene,0,10103
Shingles,302,125240
Smallpox,0,213950
Barend Joseph Stokvis,9,102
Benjamin Sheares,96,12165
Shellfish allergy,48,4244
Streptococcal pharyngitis,0,30424
Spanish flu,491,134519
Spinocerebellar ataxia type 1,0,1968
Spinal cord injury,0,14048
Horace Smithy,8,156
Elmer Ernest Southard,302,229
Solar urticaria,73,3606
Sucking louse,87,2220
Jean Tatlock,30,111269
Tetrasomy X,0,10160
Syphilis,339,153071
Subcutaneous emphysema,119,5475
John Struthers (anatomist),42,361
Tina Strobos,0,
Alma Sundquist,8,
Thought broadcasting,44,
Thrombophilia,143,
The Compatibility Gene,4,
Tick,301,
Thung Sin Nio,0,
Tietze syndrome,0,
Thiamine,500,
Thiomersal and vaccines,0,
Tobacco smoke enema,0,
Trisomy X,0,
Toothache,217,
Tracheobronchial injury,60,
Traumatic brain injury,0,
Trauma-sensitive yoga,223,
Transgender health care misinformation,41,
Tracheal intubation,459,
William Tuke,0,
Tumor necrosis factor,0,
Unrest (2017 film),0,
Type 2 diabetes,0,
Ultrasonography of chronic venous insufficiency of the legs,0,
Urinary tract infection,0,
Tuberculosis,496,
Edemariam Tsega,4,
Urinothorax,4,
Venom,496,
Vitamin B6,0,
Vitamin B12,0,
Vertebral artery dissection,168,
Vitamin A,0,
Veterans benefits for post-traumatic stress disorder in the United States,12,
Vitamin,320,
Vitamin C,0,
Warfarin,0,29760
Stafford L. Warren,174,783
Vitamin E,0,
Vitamin K,402,
Wan Azizah Wan Ismail,0,
Tobias Watkins,30,331
Wet market,285,11519
Charles DeWitt Watts,11,213
Charles Wambebe,4,
Elizabeth Ward (British campaigner),94,
