mesh_id,mesh_name,category
D006918,Hydroxyurea,antineoplastic_drug
D007069,Ifosfamide,antineoplastic_drug
D007370,Interferon Type I,antineoplastic_drug
D007372,Interferons,antineoplastic_drug
D007376,Interleukin-2,antineoplastic_drug
D007912,Lentinan,antineoplastic_drug
D008130,Lomustine,antineoplastic_drug
D008357,Mannomustine,antineoplastic_drug
D008453,Maytansine,antineoplastic_drug
D008466,Mechlorethamine,antineoplastic_drug
D008524,Medrogestone,antineoplastic_drug
D008535,Megestrol,antineoplastic_drug
D008558,Melphalan,antineoplastic_drug
D008727,Methotrexate,antineoplastic_drug
D008741,Methyl Methanesulfonate,antineoplastic_drug
D008776,Methylprednisolone Hemisuccinate,antineoplastic_drug
D008777,Methyltestosterone,antineoplastic_drug
D008920,Misonidazole,antineoplastic_drug
D008926,Plicamycin,antineoplastic_drug
D008927,Mitobronitol,antineoplastic_drug
D008935,Mitoguazone,antineoplastic_drug
D008936,Mitolactol,antineoplastic_drug
D008937,Mitomycins,antineoplastic_drug
D008939,Mitotane,antineoplastic_drug
D008942,Mitoxantrone,antineoplastic_drug
D009012,Mopidamol,antineoplastic_drug
D009173,Mycophenolic Acid,antineoplastic_drug
D009256,Nafoxidine,antineoplastic_drug
D009268,Nalidixic Acid,antineoplastic_drug
D009353,Zinostatin,antineoplastic_drug
D009377,Multiple Endocrine Neoplasia,hereditary_cancer_syndrome
D009386,"Neoplastic Syndromes, Hereditary",hereditary_cancer_syndrome
D009396,Wilms Tumor,hereditary_cancer_syndrome
D009456,Neurofibromatosis 1,hereditary_cancer_syndrome
D009564,Nitracrine,antineoplastic_drug
D009588,Nitrogen Mustard Compounds,antineoplastic_drug
D009621,Nogalamycin,antineoplastic_drug
D009643,Norfloxacin,antineoplastic_drug
D009848,Olivomycins,antineoplastic_drug
D010093,Oxolinic Acid,antineoplastic_drug
D010142,Pactamycin,antineoplastic_drug
D010440,Peptichemio,antineoplastic_drug
D010580,Peutz-Jeghers Syndrome,hereditary_cancer_syndrome
D010692,Phleomycins,antineoplastic_drug
D010752,Phosphoramide Mustards,antineoplastic_drug
D010844,Picibanil,antineoplastic_drug
D010885,Pipobroman,antineoplastic_drug
D011033,Podophyllin,antineoplastic_drug
D011034,Podophyllotoxin,antineoplastic_drug
D011125,Adenomatous Polyposis Coli,hereditary_cancer_syndrome
D011160,Porfiromycin,antineoplastic_drug
D011238,Prednimustine,antineoplastic_drug
D011239,Prednisolone,antineoplastic_drug
D011241,Prednisone,antineoplastic_drug
D011344,Procarbazine,antineoplastic_drug
D011447,Prospidium,antineoplastic_drug
D011691,Puromycin,antineoplastic_drug
D011692,Puromycin Aminonucleoside,antineoplastic_drug
D011713,Pyran Copolymer,antineoplastic_drug
D011796,Quinacrine,antineoplastic_drug
D011929,Razoxane,antineoplastic_drug
D012566,Sizofiran,antineoplastic_drug
D012673,Semustine,antineoplastic_drug
D012787,Showdomycin,antineoplastic_drug
D013033,Sparsomycin,antineoplastic_drug
D013308,Streptonigrin,antineoplastic_drug
D013310,Streptovaricin,antineoplastic_drug
D013311,Streptozocin,antineoplastic_drug
D013467,Sulindac,antineoplastic_drug
D013498,Suramin,antineoplastic_drug
D013629,Tamoxifen,antineoplastic_drug
D013713,Teniposide,antineoplastic_drug
D013720,Tenuazonic Acid,antineoplastic_drug
D013721,Triethylenephosphoramide,antineoplastic_drug
D013738,Testolactone,antineoplastic_drug
D013792,Thalidomide,antineoplastic_drug
D013852,Thiotepa,antineoplastic_drug
D013866,Thioguanine,antineoplastic_drug
D013868,Thioinosine,antineoplastic_drug
D013994,Tilorone,antineoplastic_drug
D014127,Toyocamycin,antineoplastic_drug
D014128,Chromomycin A3,antineoplastic_drug
D014212,Tretinoin,antineoplastic_drug
D014228,Triaziquone,antineoplastic_drug
D014265,Triethylenemelamine,antineoplastic_drug
D014372,Tubercidin,antineoplastic_drug
D014402,Tuberous Sclerosis,hereditary_cancer_syndrome
D014499,Uracil Mustard,antineoplastic_drug
D014520,Urethane,antineoplastic_drug
D014747,Vinblastine,antineoplastic_drug
D014748,Vinca Alkaloids,antineoplastic_drug
D014750,Vincristine,antineoplastic_drug
D014751,Vindesine,antineoplastic_drug
D015092,3-Deazauridine,antineoplastic_drug
D015122,Mercaptopurine,antineoplastic_drug
D015242,Ofloxacin,antineoplastic_drug
D015250,Aclarubicin,antineoplastic_drug
D015251,Epirubicin,antineoplastic_drug
D015255,Idarubicin,antineoplastic_drug
D015282,Octreotide,antineoplastic_drug
D015365,Enoxacin,antineoplastic_drug
D015366,Pefloxacin,antineoplastic_drug
D015376,Nimustine,antineoplastic_drug
D015649,Pentostatin,antineoplastic_drug
D015739,Nocodazole,antineoplastic_drug
D015847,Interleukin-4,antineoplastic_drug
D015978,Trichosanthin,antineoplastic_drug
D016190,Carboplatin,antineoplastic_drug
D016518,Neurofibromatosis 2,hereditary_cancer_syndrome
D016576,Fleroxacin,antineoplastic_drug
D016597,Trimetrexate,antineoplastic_drug
D016685,Mitomycin,antineoplastic_drug
D016729,Leuprolide,antineoplastic_drug
D016864,Li-Fraumeni Syndrome,hereditary_cancer_syndrome
D016899,Interferon-beta,antineoplastic_drug
D017026,Swainsonine,antineoplastic_drug
D017239,Paclitaxel,antineoplastic_drug
D017253,Neurofibromatoses,hereditary_cancer_syndrome
D017258,Medroxyprogesterone Acetate,antineoplastic_drug
D017273,Goserelin,antineoplastic_drug
D017290,Menogaril,antineoplastic_drug
D017312,Toremifene,antineoplastic_drug
D017313,Fenretinide,antineoplastic_drug
D017316,Fadrozole,antineoplastic_drug
D017323,Dihematoporphyrin Ether,antineoplastic_drug
D017324,Hematoporphyrin Derivative,antineoplastic_drug
D017329,Triptorelin Pamoate,antineoplastic_drug
D017338,Cladribine,antineoplastic_drug
D017341,Etanidazole,antineoplastic_drug
D017373,Cyproterone Acetate,antineoplastic_drug
D017624,WAGR Syndrome,hereditary_cancer_syndrome
D017663,Peplomycin,antineoplastic_drug
D017666,Deuterium Oxide,antineoplastic_drug
D018664,Interleukin-12,antineoplastic_drug
D018761,Multiple Endocrine Neoplasia Type 1,hereditary_cancer_syndrome
D018813,Multiple Endocrine Neoplasia Type 2a,hereditary_cancer_syndrome
D018814,Multiple Endocrine Neoplasia Type 2b,hereditary_cancer_syndrome
D019290,Megestrol Acetate,antineoplastic_drug
D019328,Buthionine Sulfoximine,antineoplastic_drug
D019772,Topotecan,antineoplastic_drug
D019797,3-Iodobenzylguanidine,antineoplastic_drug
D019830,Adenosine-5'-(N-ethylcarboxamide),antineoplastic_drug
D019833,Genistein,antineoplastic_drug
D020032,Tyrphostins,antineoplastic_drug
D020123,Sirolimus,antineoplastic_drug
D024221,Antineoplastic Protocols,antineoplastic_protocol
D030321,Denys-Drash Syndrome,hereditary_cancer_syndrome
D043165,Angiostatic Proteins,antineoplastic_drug
D043168,Angiostatins,antineoplastic_drug
D043169,Endostatins,antineoplastic_drug
D053380,Tumor Necrosis Factor Ligand Superfamily Member 15,antineoplastic_drug
D053683,Oncostatin M,antineoplastic_drug
D053759,Interleukin-23,antineoplastic_drug
D055653,Muir-Torre Syndrome,hereditary_cancer_syndrome
D055847,Lynch Syndrome II,hereditary_cancer_syndrome
D056604,Grape Seed Extract,antineoplastic_drug
D058249,Birt-Hogg-Dube Syndrome,hereditary_cancer_syndrome
D061325,Hereditary Breast and Ovarian Cancer Syndrome,hereditary_cancer_syndrome
D064704,Levofloxacin,antineoplastic_drug
D064730,Dexrazoxane,antineoplastic_drug
